% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT,forecast_24,residuals_24,forecast_36,residuals_36,forecast_48,residuals_48,forecast_60,residuals_60
0.910135,0.8261200000000001,440,539,1467,669,177577,,-16540.4255981904,,-12304.33404591831,,-15860.126169930387,,-11345.128138243948
0.932265,0.8205049999999999,429,508,1445,682,176111,,-6569.201851724763,,-9178.052278432879,,-8857.10132365767,,-2377.2062069098756
0.692175,0.630846,275,444,1075,655,170406,,-8626.329901540652,,-9034.048485307401,,-12861.743550588144,,-7259.408974192833
0.6694060000000001,0.63935,215,471,1005,613,157191,,-19349.191506550327,,-21677.21508707176,,-21192.823504492524,,-19893.326793718297
0.727705,0.586609,248,283,836,547,142514,,-9550.95753439897,,-10738.897893513931,,-14442.415046478185,,-11936.637561760726
0.717701,0.7730239999999999,264,262,740,406,95728,,-45763.213711759396,,-46085.45529542226,,-48022.68021871973,,-41700.657880204846
0.7893939999999999,0.790743,213,205,641,393,81063,,-4288.4810456488485,,-9055.697774624583,,-10640.711795188909,,-9929.746704997306
0.722129,0.711847,201,195,563,344,79090,,-9225.573883408157,,-13055.29709511227,,-18137.380287612905,,-15884.033808073204
0.591326,0.794637,198,187,620,341,78023,,912.97242671813,,-4120.877155319118,,-8107.889348089986,,-5743.041440669476
0.52307,0.586604,139,123,423,322,72110,,-31.74793108359154,,-4811.904433410731,,-10647.499824463244,,-10721.525974781398
0.4502359999999999,0.6159819999999999,122,124,441,322,71593,,-8512.416052012224,,-13298.373361546284,,-20743.40916112857,,-15185.762949349562
0.397421,0.4915069999999999,109,91,318,310,64699,,-4970.532121933706,,-9849.520969381745,,-15940.814383752659,,-16786.53593197251
0.448002,0.604341,137,141,441,308,72972,,2457.2904682667286,,-2567.344543986823,,-9212.328005527932,,-6210.775648455252
0.474767,0.524478,98,98,365,301,69593,,4616.520852381327,,-408.3199645796558,,-5477.7713356509485,,-6878.593861871617
0.453251,0.590692,112,139,420,302,71103,,-3779.141026088284,,-8410.857394709761,,-14175.784395139126,,-10864.075385945136
0.3521579999999999,0.505135,100,120,361,290,71466,,4070.625044473534,,-2596.2385340909823,,-7723.667989411639,,-9730.989206687169
0.5253220000000001,0.634271,136,125,443,295,69844,,-1825.164440042252,,-8471.9651446512,,-13138.453340496111,,-11907.776956926362
0.492991,0.610118,120,131,421,283,69003,,2050.741126637382,,-2822.323932308136,,-10131.783193340249,,-10698.829587629298
0.542728,0.641227,159,144,450,277,70178,,-969.1160611879022,,-7172.467387984521,,-11120.7404101586,,-12981.855618367772
0.490347,0.661429,166,155,463,276,70000,,2503.7685810009425,,-4225.923569799634,,-10637.398573628248,,-9178.784257277148
0.7359140000000001,0.7926810000000001,177,182,519,271,65474,,-4571.123182245181,,-11284.47788358209,,-16350.503636211171,,-17418.73841045059
0.581771,0.639059,145,184,475,267,74328,,9751.66066287701,,4791.975546046553,,-3506.2116114007804,,-5235.516085822746
0.654162,0.636732,136,183,461,264,72401,,-7014.685191204175,,-13823.281786706153,,-17816.004993967246,,-16125.053323373097
0.749504,0.747829,135,221,533,268,71273,,-944.2019137638417,,-7313.313457885597,,-16008.737471587607,,-11953.4956358341
0.884021,0.960873,808,881,2442,830,254144,,182326.21208205522,,177807.91172803065,,170988.2011224347,,167385.30653079235
1.02773,1.04325,913,1132,2932,931,281045,,12897.547276406607,,8268.713530053967,,6430.81783028791,,218.96349430514965
1.28296,1.0545,878,1147,3031,974,287436,,-3938.433387828176,,-14153.528046055173,,-475.8552972992766,,-22087.00587714801
1.32661,1.11231,1006,1369,3475,1007,312412,,12358.555682354548,,9305.79881466867,,14588.308731985046,,10451.863215815974
1.7730400000000002,1.41274,1207,2080,4690,1074,331980,,23186.714199101436,,18318.16148028971,,24727.1315538123,,23492.41627748654
2.43814,1.7270299999999998,1542,2735,5790,1111,335258,,-424.2259835214936,,-247.04800158826401,,3527.958678202587,,3933.37708181818
2.72605,2.407,2185,4133,8385,1141,348359,,-1074.3051578838495,,-210.29598924622405,,4620.008985620458,,4753.184782664466
3.73192,3.10962,2561,5684,11141,1129,358275,,17077.204348689294,,11207.298497242387,,23685.379928522918,,11650.079753536207
4.54894,4.30779,3247,4933,11742,1118,272576,,-81015.53743160923,,-80960.91379157716,,-77499.5001610127,,-82563.7078607899
5.39906,4.8303,4734,7817,18948,1189,392274,,117850.81555098738,,121379.71131866722,,120783.40365468268,,86072.04507776652
7.38735,6.42905,6620,11550,24962,1173,388269,,-5405.297981195385,,-8291.839402036974,,9156.327078557108,,4513.128476270707
7.48097,6.86734,6434,9851,23699,1148,345097,,-49943.24537381169,,-49164.381744514685,,-64857.86134265561,,-34358.41576196748
7.627969999999999,7.064960000000001,5336,5231,16415,1122,232344,,-147195.61347695696,,-159067.74904088042,,-141941.41712023778,,-172413.07127031055
5.14051,4.55115,3391,2894,11332,1139,248992,,-4206.247512662143,,-10506.534954505332,,-38835.50545698992,,-71632.42996053863
2.89129,2.41833,1930,2299,7602,1160,314349,,-39197.28356671863,,-36612.085116198636,,-42722.895977476495,,-35115.05267023074
2.10429,1.80906,1679,1857,5583,1141,308614,,-25973.7528935906,,-9127.159202406765,,-60032.55984542379,,-2101.2340448304312
1.88696,1.71202,1721,1604,4961,1084,289774,,-15503.16168010037,,20229.939976207912,,-25770.21378091193,,17344.1781523237
1.7766,1.5425,1487,1543,4436,1071,287586,,-6874.669714464282,,13235.539282488462,,-967.9331094597583,,14185.821917081834
1.46001,1.43787,1454,1448,4251,1054,295646,,-4325.303073207673,,2854.5237194121582,,-2457.8059968800517,,8716.409969520639
1.3778700000000002,1.32427,1420,1297,3824,986,288762,,-2376.894368446083,,2159.8506671081996,,-1164.8305845343275,,5615.4185569308465
1.30532,1.30726,1301,1255,3691,1004,282347,,-2207.1351255283807,,232.46867068909341,,-3610.6761265184614,,11655.112637649465
1.08691,1.03698,956,1038,2916,948,281202,,-10546.417719413643,,-8551.204493216996,,-11180.926196336106,,-4337.4872940294445
0.991888,1.01032,925,910,2744,894,271597,,-9629.455772539775,,-9499.275557141169,,-11698.879688064917,,-7552.20960252604
1.02765,1.05249,878,888,2708,897,257294,,-4997.571618668968,,-1263.4473177458276,,-7363.193337073142,,2056.7065838091366
1.0579,1.02009,730,826,2487,849,243802,,-20742.495896421082,,-19738.82570037921,,-22324.983780338138,,-20723.370347437973
0.849361,0.924419,760,733,2300,859,248805,,2386.3830193273316,,2003.8801485434524,,2366.7986354217865,,-1332.6669220200274
0.7471270000000001,0.7906449999999999,610,611,1858,828,234998,,-15183.955025619187,,-16704.240357209404,,-16925.56714440172,,-13743.616283518728
0.661708,0.80261,583,566,1705,774,212432,,-27806.940985533,,-30785.12356532371,,-29628.645037240814,,-26603.729966475163
0.6795140000000001,0.8361299999999999,545,573,1749,755,209178,,-1913.8324374482036,,-2290.3078394344193,,-3842.3663797135523,,-3816.9723853575997
0.633071,0.7924359999999999,501,511,1615,679,203802,,-2655.331185284973,,-3946.401306301472,,-4539.543648471445,,-5219.971454771585
0.569894,0.683588,470,404,1331,658,194708,,-50.188215508067515,,-1062.4891215496464,,-2053.07253903299,,1646.8059544921853
0.591357,0.757452,435,491,1394,629,184038,,-14430.43435820879,,-17019.75093120066,,-20221.84224958645,,-10358.352004302986
0.589044,0.7885850000000001,449,443,1327,599,168276,,-13275.682480086893,,-17033.374300662428,,-18499.567945919378,,-20151.653804867965
0.6786399999999999,0.812171,451,380,1262,553,155386,,-13464.187594265182,,-16511.349765529885,,-19453.598542525055,,-21372.9406456555
0.637558,0.804463,375,349,1070,463,133008,,-21762.659798139153,,-25773.94559810529,,-27903.93992252188,,-27790.90284941229
0.8133090000000001,0.8777010000000001,391,308,1061,452,120884,,-8859.785468716625,,-13104.257834165037,,-16222.615946594073,,-14097.903751138569
0.834551,0.741453,355,309,987,443,133117,,9110.518240877922,,6372.99297253722,,-1284.9248688744556,,2043.3660533539369
0.616174,0.661022,307,240,851,426,128740,,-9998.255200917774,,-14540.386194771185,,-17243.132443720242,,-12828.1718609542
0.513286,0.715109,277,284,887,423,124037,,-4684.242440910151,,-10662.646300536057,,-14811.190187499305,,-11256.243408518494
0.351881,0.562241,238,183,698,408,124146,,4292.672523653964,,-844.3399461981317,,-7733.240256076853,,-10798.142740983109
0.542621,0.786808,233,205,710,381,90238,,-35446.23178005722,,-39540.870282505944,,-45619.502532950195,,-44667.32742978161
0.581036,0.860658,249,280,836,378,97135,,5977.335164437827,,2209.7711386070587,,-6676.518665628901,,-12798.238640306226
0.495486,0.689944,259,200,659,370,95515,,-43.503312582397484,,-4521.218643903194,,-8090.5314066878345,,-17203.302920646893
0.6120899999999999,0.779691,260,230,719,363,92216,,-9546.555450982065,,-16111.55621934445,,-21140.813492251953,,-15972.504356752863
0.5314909999999999,0.6281439999999999,213,235,733,345,116693,,25252.699054102675,,20164.812513549317,,14613.398726615938,,14399.684163264013
0.519987,0.902459,243,256,809,334,89644,,-21827.320064577652,,-26297.74336843242,,-30515.390677598145,,-25370.614778937947
0.574476,0.806443,256,256,770,335,95481,,12678.382692189029,,7137.955393421173,,-2581.3426044143853,,-7852.189238852414
0.663175,0.8748879999999999,259,265,799,333,91326,,-10189.820966617131,,-15792.531166262503,,-21754.57361832187,,-24919.10665457358
0.614691,0.993213,279,358,960,326,96656,,4051.824170340231,,-1756.0482186889858,,-7983.794561723393,,-9833.91645016009
0.6568229999999999,0.876141,281,309,913,337,104207,,15197.368420861108,,9394.731755327535,,3396.0906017185916,,-3696.079779246269
0.723016,0.948092,342,413,1122,341,118343,,9298.318107365805,,4145.699668946923,,-4011.901353580295,,-381.37636882848165
0.6918569999999999,0.926943,322,416,1089,336,117483,,4193.22270373191,,-854.3664061437303,,-7585.263679480893,,-7565.793505869544
0.782758,0.971643,333,382,1116,364,114857,,-4412.924607782756,,-10377.483225210526,,-17487.484741016233,,-17462.688655385253
0.982275,0.897159,877,1256,3171,1176,353449,,232616.5786920695,,226994.9024037649,,218567.74339419833,,214571.8915208946
1.01821,1.0224799999999998,1071,1373,3631,1187,355116,,-49299.49854887172,,-52990.45688754629,,-52978.46256340318,,-59751.35238118883
1.1768,1.06296,1240,1534,4019,1267,378094,,23131.64019476506,,14064.865503687644,,35534.56745152705,,-648.6955969694536
1.30121,1.14696,1190,1671,4369,1293,380921,,-6982.295568304195,,-10002.927323929383,,1278.6378286330146,,2914.941743670497
1.27746,1.20495,1327,1718,4551,1302,377692,,-7675.760900213558,,-11237.116792586341,,1598.107352363295,,-5204.301252368779
1.4038700000000002,1.3051700000000002,1497,1874,4969,1344,380718,,614.5445545425173,,1273.744331782451,,9220.596909719345,,6306.125448519713
1.40301,1.28699,1531,1874,4983,1336,387182,,-1089.3443311348092,,-2672.201192398963,,8448.82119707088,,7414.9363329820335
1.73975,1.59468,1490,1678,4713,1341,295546,,-94549.91193261399,,-94822.60381403769,,-82755.72740570462,,-81960.07462509186
1.56894,1.39714,1538,2059,5407,1369,387004,,58142.051628035144,,58975.92311918386,,63370.61504182656,,51828.20218228089
1.65927,1.44996,1551,2052,5428,1346,374356,,903.4393427579198,,768.1103427699418,,19724.72271444637,,13636.1757640086
1.81341,1.61745,1670,2071,5755,1379,355806,,-14453.319286831247,,-8853.482190062932,,-6597.048502849822,,13591.192747284658
2.37626,2.19112,1856,1807,5689,1288,259639,,-111241.65520030056,,-107459.81922670093,,-99846.4227582246,,-102676.48602253821
2.77052,2.56649,2252,1993,7279,1332,283617,,9465.226850163133,,9513.104197736015,,18097.816246260016,,-3528.031342339935
2.40064,2.17645,2010,2450,8041,1383,369455,,76758.06102135166,,79676.35341196536,,98392.68258756684,,79201.50534644234
2.54155,2.20171,2188,2982,8323,1342,378024,,7907.570261155255,,7191.99158259033,,22504.417453865928,,30710.380527089757
2.85871,2.53012,2199,3682,9328,1348,368678,,1955.1223382009193,,10199.152555754175,,3086.443818375934,,30202.68865915452
3.55011,3.06524,2747,5364,12422,1334,405254,,27638.44671130122,,32256.866199577227,,39661.874737091945,,38582.25797822559
4.58591,3.98061,3086,7650,16192,1303,406772,,17919.1653940666,,24175.053845581308,,26596.110046068905,,24051.464542227215
5.05809,4.595680000000001,3626,8854,19369,1324,421461,,22346.214972899004,,28336.51568368997,,31766.52791346732,,21933.048242111225
5.44151,4.75197,3834,8400,19931,1330,419426,,4430.934336291859,,9696.937828643015,,14173.440083965077,,-9001.398373611097
4.4729,4.17962,3720,6759,16630,1280,397883,,-28643.58995784563,,-29368.466170416796,,-22684.145087880257,,-38550.09983516659
3.6752,3.45359,2997,5343,13234,1268,383196,,-32441.703684658452,,-40368.82689297706,,-32923.850476178806,,-31286.837113267044
3.3353,3.15852,2728,4494,11601,1227,367292,,-38253.19788819039,,-41622.538192938955,,-40031.47457624762,,-29424.014099610737
2.7622400000000003,2.6732,2416,3513,9502,1185,355454,,-16487.460719764116,,-1932.5053353640833,,-16377.509012791503,,-9854.547238847183
2.46844,2.35161,2145,2771,7900,1148,335940,,-31533.491042227426,,-24122.223484677845,,-32404.50217106857,,-22032.688758926117
2.00081,1.89243,1827,2133,6329,1103,334438,,-13094.700282478472,,-6386.755050616746,,-14360.332625805575,,-3563.4616276962333
1.54319,1.5249,1422,1737,4816,1048,315823,,-29261.874199993093,,-23415.89279141772,,-28125.856389508932,,-15670.966326463036
1.50195,1.41134,1356,1603,4445,1000,314948,,-6999.468296192063,,-3679.426128335588,,-11635.824080533406,,2142.716614221572
1.22918,1.25068,1096,1469,3825,978,305833,,-4484.669059985783,,3531.734437580337,,-5177.7414703445975,,6605.5162818802055
1.21854,1.20702,1117,1411,3646,971,302065,,-9532.801151050022,,-7331.196429878357,,-10797.398054685153,,-4945.392179102462
1.15832,1.07895,903,1136,2990,923,277120,,-24600.440908772987,,-21926.203856049746,,-27979.315801271063,,-23395.512483318103
1.249,1.14521,979,1115,3012,878,263009,,-24904.497242335055,,-24875.74096725008,,-24024.30145658995,,-22604.692811639863
1.16888,1.06124,805,926,2531,825,238494,,-22681.569791325863,,-21327.591996727744,,-24144.316198968445,,-21674.863703312847
1.0788799999999998,1.0568,687,695,2056,687,194550,,-53183.29145342435,,-55165.280045265856,,-53546.76334620247,,-51933.49430487622
1.23059,1.25193,693,678,2099,637,167661,,-21237.851471666596,,-22005.224772904214,,-25445.745359912806,,-24662.3598959893
1.14747,1.01419,548,594,1744,603,171960,,5179.627054950135,,5929.805653636344,,-382.0802503085579,,-406.1629676207958
1.00254,1.04197,573,507,1614,582,154899,,-25960.728549240215,,-27652.007595598145,,-30182.96585254377,,-24533.836031861807
0.957569,0.954027,580,507,1628,587,170645,,15461.783820812707,,12751.82889223413,,7015.194177248748,,9857.01281477965
0.8948370000000001,0.8482299999999999,497,452,1359,550,160216,,-11603.009493180347,,-14324.395920350013,,-17388.183046404563,,-14134.205073941615
0.798205,0.841872,426,390,1198,533,142302,,-22272.598484590708,,-24718.496002386382,,-29871.489643236215,,-22853.622847656283
0.757812,0.7308939999999999,389,361,1148,524,157068,,9919.566398485855,,6711.169226353115,,1110.8058145177492,,664.1716327768227
0.8259629999999999,0.713432,333,364,1068,507,149699,,-5179.362617958541,,-8042.439928479667,,-12448.099511835724,,-9646.529172835057
0.744927,0.6706770000000001,328,327,990,492,147612,,-5512.843235280918,,-7056.445789799385,,-13115.588013866334,,-7208.548623171111
0.787049,0.689278,331,326,982,488,142468,,-6653.325215071614,,-10545.847155137162,,-13970.723972378706,,-12721.058244183834
0.684724,0.704929,319,350,1023,479,145121,,495.70522889032145,,-4270.927150912961,,-8247.753114885127,,-6931.02605946621
0.7473609999999999,0.615903,330,326,928,480,150673,,7647.692662915011,,3138.584088644944,,804.9806547430053,,-1729.6198283648991
0.673974,0.609426,292,311,922,428,151290,,-2270.1065939150867,,-6111.022400642512,,-11728.16087475128,,-4976.868070235098
0.869662,0.6802590000000001,342,367,1033,420,151854,,7921.754029502452,,3418.9768771920353,,1170.8146016350365,,3944.357655680011
0.8995290000000001,0.7754880000000001,338,396,1061,416,136817,,-13015.216541376576,,-15967.992615344963,,-24466.669913195015,,-17025.561190607958
0.854635,0.6834210000000001,302,383,1026,408,150127,,6489.180592602323,,576.3950903375226,,-3047.577778432751,,-7312.775242381176
1.01123,0.781075,368,516,1219,419,156067,,6834.186585831281,,349.96770401875256,,-3243.326071988413,,-3622.9360099424957
0.977808,0.8069430000000001,381,484,1204,447,149205,,-5580.667654624704,,-9235.51493359104,,-16910.960790294717,,-12632.306504688138
1.1777799999999998,1.07635,1172,1256,3586,1113,333164,,173062.91129726978,,167418.35883720004,,163609.2984071747,,159333.95557713235
1.21947,1.05869,1285,1247,3582,1160,338343,,-26137.782081816753,,-31194.012441790546,,-30212.146300088032,,-44141.6184943135
1.3069,1.11523,1393,1525,4122,1216,369609,,14229.402403342712,,3212.29709426919,,23799.777581782837,,-4391.2074075817945
1.33931,1.12381,1439,1599,4248,1237,377999,,6268.890922383813,,3528.5771686801454,,13861.51598976273,,14977.816075431183
1.58374,1.25489,1639,1894,5005,1280,398840,,19218.547245681053,,16790.500866779417,,22995.9177153621,,28345.855121691944
1.47072,1.33661,1563,1929,5038,1272,376924,,-23961.63206406485,,-22349.611329171457,,-16398.375399013225,,-10770.80592059216
1.6112,1.37864,1679,1951,5276,1277,382697,,-2779.17743120261,,-5361.478242271522,,3279.543737753702,,-1868.2013582941727
1.82699,1.60829,1666,1593,4802,1301,298578,,-84107.21880938282,,-83062.91099575983,,-79528.99925082695,,-78237.39143384312
1.77482,1.48311,1858,2176,5966,1325,402264,,64629.79401103477,,64745.02546859061,,69423.22199045756,,58037.14094825211
1.94451,1.6537400000000002,1987,2463,6371,1328,385248,,2326.1871903548017,,2172.1046528457664,,18719.074279755878,,17270.384859623387
2.35512,2.00679,2241,3063,7697,1318,383548,,-5211.414756366401,,-443.8004656098201,,-1134.4976788638742,,21717.15458160703
3.10878,2.56857,2696,3058,8577,1287,333921,,-51617.297560127336,,-48245.62060202274,,-42290.28859935125,,-44529.95022123313
3.2823800000000003,3.05278,2678,2561,8842,1273,289638,,-57094.7713093693,,-54818.66786094493,,-50882.57174419105,,-56204.52529873309
2.62914,2.42504,2422,2366,8339,1319,343871,,36946.38254748238,,33739.42344157002,,49512.38038227835,,17169.801816634776
2.2515,2.00195,2272,2921,7882,1339,393716,,34076.951444887905,,31082.472172411042,,37507.949712649395,,40133.424852934026
2.35858,2.0586900000000004,2249,3150,7858,1297,381699,,-10139.262903946918,,-6059.166772464465,,-12531.254479317693,,20358.244231348508
2.41881,2.21277,2643,3646,9114,1331,411882,,30465.71333320433,,41456.57455425983,,35658.235637404956,,54400.31451312936
2.52752,2.3222,2612,4153,9551,1320,411291,,5168.765808815719,,9150.60452480457,,9296.934539766517,,19065.625047557347
2.64954,2.4927900000000003,2754,4593,10427,1311,418286,,2930.1553066286724,,1865.9616048845928,,3927.5024114323314,,10955.122369192715
3.12935,2.79489,2624,4979,11226,1288,401661,,-12632.477009591006,,-7798.678360664286,,-9578.410638062516,,-6331.876677612192
3.12442,2.96911,2753,5284,11901,1288,400827,,-3804.1176870442578,,1349.712952243688,,-1692.3904927320546,,-6087.984697749838
3.13099,2.8395900000000003,2579,5008,11343,1275,399459,,-1480.7660512734437,,3153.274296114105,,724.0250603380264,,-7879.3369546926115
3.08261,2.77799,2564,5106,11261,1257,405365,,-1088.882812346972,,-269.8737192187691,,576.351695721678,,1407.2903973539942
2.64431,2.47287,2330,4154,9322,1241,376971,,-30321.240465682815,,-25045.641581118223,,-27447.48671953642,,-20734.13627967314
2.42295,2.18061,1895,3709,8064,1217,369804,,-22068.652175431664,,-21449.034846831346,,-22778.711709684227,,-16794.212093352107
2.31141,2.0168,1697,3393,7313,1165,362605,,-15400.246581507148,,-12829.380094375345,,-14167.480985925999,,-10837.131325123075
1.86383,1.64101,1437,2660,5738,1133,349662,,-11827.951052451564,,-1151.7937421142124,,-8457.554959254398,,-4.950201870058663
1.44943,1.35829,1181,2014,4547,1087,334760,,-22742.446786249056,,-19203.927921307855,,-21609.26311692444,,-9797.251484495937
1.30227,1.1428,959,1479,3550,1045,310641,,-24540.623899967934,,-21795.96958201722,,-22362.941765532014,,-15465.190338341286
1.13459,1.04031,836,1382,3177,1017,305389,,-12907.045895342715,,-6870.577910244057,,-10983.569134967518,,-3369.2862828992074
1.06255,0.964347,745,1208,2780,958,288278,,-18170.836371988407,,-14396.296114082565,,-14760.218143124366,,-11932.214505724609
1.03428,0.937982,745,1039,2592,919,276338,,-10628.096543164167,,-7719.41592295625,,-7980.964641938102,,-3249.4034674462746
1.01791,0.947449,715,969,2428,877,256267,,-20086.978670379613,,-18479.961107387615,,-17470.302426363458,,-12779.92524369579
0.918151,0.891918,699,764,2061,783,231075,,-28233.308022937505,,-29171.328875602194,,-27389.183409840887,,-25779.30886472907
0.93099,0.864643,572,561,1645,649,190252,,-38401.89818087232,,-40140.27209226732,,-38601.20876710751,,-35291.76229945701
0.857294,0.97032,754,626,2075,635,213847,,26072.000208637328,,24599.812722740782,,22808.20873121012,,30228.091882069188
0.7862939999999999,0.84439,514,447,1430,615,169353,,-28396.189508793876,,-28730.710671705194,,-32469.69901088925,,-25897.09018872617
0.719426,0.77487,463,409,1300,610,167770,,-23212.68213655264,,-28065.139243786514,,-33348.8396718094,,-30211.657286899775
0.7188680000000001,0.8213719999999999,466,390,1271,572,154741,,-17156.181256823562,,-19894.92699475665,,-23868.62612311123,,-29755.918078826333
0.774807,0.8727450000000001,437,402,1215,565,139216,,-12871.433664586802,,-15552.76358718588,,-19235.381006565964,,-20188.860579173604
0.76598,0.922635,549,511,1617,577,175259,,29100.752482436306,,26851.721971405204,,22565.893538336648,,21082.22889338815
0.642809,0.899487,541,440,1553,564,172654,,10474.050270336564,,7535.892484990705,,6616.107893595239,,5790.648220084608
0.622033,0.843082,502,403,1455,564,172581,,2150.192494144576,,-1973.2683141563612,,-5526.846839319012,,-792.3417292594386
0.616326,0.8818239999999999,508,430,1428,551,161937,,-13053.479725353653,,-17329.5289478754,,-22359.631428621302,,-20750.76731198578
0.6856939999999999,0.817145,473,435,1373,547,168024,,4740.711542833247,,357.1013925956795,,-4420.020399447414,,-6891.067262702127
0.6226970000000001,0.8715,510,466,1457,536,167183,,-3829.80142736368,,-7509.8459723631095,,-11397.846025403938,,-10014.361226420326
0.611817,0.738621,404,379,1138,503,154071,,-9232.963792499126,,-13565.610748630075,,-17447.59308564302,,-18321.231546247785
0.638831,0.797966,398,457,1224,488,153390,,-7416.9909223381255,,-12331.991925397335,,-17313.869938187156,,-13826.294510891777
0.8066270000000001,1.01394,492,506,1463,491,144289,,-5614.915245367942,,-9195.213943266368,,-14843.35884978171,,-15266.69001537023
0.7624479999999999,0.880936,446,521,1406,487,159603,,17314.19050854561,,14263.403601572209,,8019.901694388303,,2336.985673383344
0.8134060000000001,0.943366,511,534,1487,455,157627,,-5282.2042533744825,,-10989.67605568943,,-12910.438965750334,,-12568.417008201184
0.807934,0.891546,476,512,1433,469,160732,,10205.83382953037,,6002.900294157269,,-704.2980957284162,,3680.3429498447804
1.15384,1.2032200000000002,1434,1699,4513,1323,375076,,207578.66229635998,,202733.26274068054,,197270.0813950341,,199858.60032053792
1.14819,1.05788,1278,1602,4072,1361,384920,,-42572.38512251619,,-45691.200979696354,,-47203.84594222717,,-59690.28193661326
1.22736,1.13054,1543,1830,4737,1425,419005,,14325.451627528586,,1186.5913719231612,,30466.490138066467,,-11060.13206567365
1.21744,1.12552,1582,1996,4888,1445,434287,,19777.941040586447,,20362.778456776403,,31120.98958268325,,35678.05920115794
1.32813,1.2080799999999998,1672,2270,5380,1473,445334,,11466.168185701245,,8214.132646355894,,21352.723544639535,,28605.921195023868
1.47754,1.34952,2112,2393,6139,1497,454901,,8874.948995517043,,11365.129577309475,,20079.509909317945,,26285.285590554704
1.5339,1.4689,2355,2681,6668,1474,453945,,-172.92409189027967,,912.2636605980224,,10865.64951333945,,18640.19802573888
1.91269,1.82767,2188,2202,6156,1488,336822,,-118954.32804798888,,-122920.2805335322,,-108837.70057395176,,-99656.19798007945
